province,province_name,model,test_norm_mae,test_norm_rmse,test_norm_r2,val_norm_mae,best_epoch,final_gap,mamba_mae,mamba_rmse,mamba_r2,delta_mae_vs_mamba,delta_rmse_vs_mamba,delta_r2_vs_mamba,start,end,n_hours,coverage_ratio,max_gap_h,aqi_mean,aqi_std,aqi_cv,aqi_iqr,aqi_skew,aqi_kurtosis,diff_abs_mean,diff_abs_p90,diff_abs_p95,spike_rate,spike_threshold,direction_change_rate,autocorr_1h,autocorr_12h,autocorr_24h,autocorr_168h,hist_entropy
can_tho,TP. Cần Thơ,mamba,0.1769597977399826,0.2720541566541724,0.8475257158279419,0.1305616945028305,33,0.017573192593044084,0.1769597977399826,0.2720541566541724,0.8475257158279419,0.0,0.0,0.0,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,109.86740331491713,24.439839262878678,0.22244850178925077,31.0,0.3370670742339318,-0.380050903435984,1.2562179234109752,3.0,4.0,0.012628255722178374,10.0,0.1401315789473684,0.9943068337720798,0.7896787243313099,0.5641339579073835,0.14642124622303923,3.2967694309235123
can_tho,TP. Cần Thơ,transformer,0.1921929121017456,0.2762488661177482,0.8427875638008118,0.15862755477428436,59,0.020916597803937925,0.1769597977399826,0.2720541566541724,0.8475257158279419,0.015233114361763,0.0041947094635758075,-0.004738152027130127,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,109.86740331491713,24.439839262878678,0.22244850178925077,31.0,0.3370670742339318,-0.380050903435984,1.2562179234109752,3.0,4.0,0.012628255722178374,10.0,0.1401315789473684,0.9943068337720798,0.7896787243313099,0.5641339579073835,0.14642124622303923,3.2967694309235123
cao_bang,Cao Bằng,lstm,0.22016699612140656,0.3387763701447159,0.9171549081802368,0.11207538843154907,11,0.012624027268794157,0.23260638117790222,0.3435278629936565,0.9148147106170654,-0.012439385056495667,-0.004751492848940608,0.0023401975631713867,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,88.39384372533544,37.952933554621914,0.4293617287709805,51.0,0.6596690945357034,-0.4176506252779224,2.2427951046190286,5.0,9.0,0.04696132596685083,10.0,0.10702875399361023,0.9948072352330702,0.8182027985218795,0.7468989341129538,0.5100805414864459,3.2336460345442153
cao_bang,Cao Bằng,mamba,0.23260638117790222,0.3435278629936565,0.9148147106170654,0.10068243741989136,17,0.0033508809578799235,0.23260638117790222,0.3435278629936565,0.9148147106170654,0.0,0.0,0.0,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,88.39384372533544,37.952933554621914,0.4293617287709805,51.0,0.6596690945357034,-0.4176506252779224,2.2427951046190286,5.0,9.0,0.04696132596685083,10.0,0.10702875399361023,0.9948072352330702,0.8182027985218795,0.7468989341129538,0.5100805414864459,3.2336460345442153
cao_bang,Cao Bằng,transformer,0.22589938342571259,0.3340990081728714,0.9194267392158508,0.09839753061532974,39,-0.0019364901227488067,0.23260638117790222,0.3435278629936565,0.9148147106170654,-0.006706997752189636,-0.009428854820785093,0.0046120285987854,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,88.39384372533544,37.952933554621914,0.4293617287709805,51.0,0.6596690945357034,-0.4176506252779224,2.2427951046190286,5.0,9.0,0.04696132596685083,10.0,0.10702875399361023,0.9948072352330702,0.8182027985218795,0.7468989341129538,0.5100805414864459,3.2336460345442153
da_nang,TP. Đà Nẵng,lstm,0.32631638646125793,0.5525217085237184,0.7295880317687988,0.11411935836076736,12,0.010864899120043185,0.3445875942707062,0.608930915017766,0.671554446220398,-0.018271207809448242,-0.05640920649404757,0.05803358554840088,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,103.38161010260458,54.31591577327307,0.5253924341027906,67.0,1.1734167707134822,0.4044706603869028,7.348203711014607,24.0,30.0,0.10220994475138122,24.0,0.13960703205791106,0.9738599243286414,0.16782198147727703,0.8133255603664747,0.4269246598040227,2.991344878953425
da_nang,TP. Đà Nẵng,mamba,0.3445875942707062,0.608930915017766,0.671554446220398,0.09727563709020615,18,0.004231704712877142,0.3445875942707062,0.608930915017766,0.671554446220398,0.0,0.0,0.0,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,103.38161010260458,54.31591577327307,0.5253924341027906,67.0,1.1734167707134822,0.4044706603869028,7.348203711014607,24.0,30.0,0.10220994475138122,24.0,0.13960703205791106,0.9738599243286414,0.16782198147727703,0.8133255603664747,0.4269246598040227,2.991344878953425
da_nang,TP. Đà Nẵng,transformer,0.2997239828109741,0.48365220624033434,0.7927981615066528,0.10153888165950775,8,-0.013131197082568595,0.3445875942707062,0.608930915017766,0.671554446220398,-0.044863611459732056,-0.12527870877743164,0.12124371528625488,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,103.38161010260458,54.31591577327307,0.5253924341027906,67.0,1.1734167707134822,0.4044706603869028,7.348203711014607,24.0,30.0,0.10220994475138122,24.0,0.13960703205791106,0.9738599243286414,0.16782198147727703,0.8133255603664747,0.4269246598040227,2.991344878953425
dak_lak,Đắk Lắk,lstm,0.3306301236152649,0.5279234066899003,0.8740031719207764,0.1394641101360321,21,0.02735994747949913,0.2909688949584961,0.466547416524957,0.9015967845916748,0.0396612286567688,0.06137599016494333,-0.027593612670898438,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,63.82359905288082,24.691336932876315,0.38686845147072313,32.0,1.1216121454916905,0.6854990277004926,1.833004342676668,4.0,10.0,0.05288082083662194,10.0,0.15064298836497245,0.9882772371336469,0.824249661796939,0.8344034349807783,0.6059622102646005,2.9151743613505183
dak_lak,Đắk Lắk,mamba,0.2909688949584961,0.466547416524957,0.9015967845916748,0.1385495960712433,11,0.01260099559579219,0.2909688949584961,0.466547416524957,0.9015967845916748,0.0,0.0,0.0,2026-03-03 10:00:00,2026-06-16 23:00:00,2534,1.0,1.0,63.82359905288082,24.691336932876315,0.38686845147072313,32.0,1.1216121454916905,0.6854990277004926,1.833004342676668,4.0,10.0,0.05288082083662194,10.0,0.15064298836497245,0.9882772371336469,0.824249661796939,0.8344034349807783,0.6059622102646005,2.9151743613505183
